model,model_slug,zip_path,exported_at_utc,case_count,task_pass_count,task_fail_count,task_pass_rate,run2a_pass_count,run2b_pass_count,run2a_pass_rate,run2b_pass_rate,advantage_cases,advantage_pp,scaffold_cases,reverse_scaffold_cases,both_fail_cases,avg_citation_key_delta,avg_citation_coverage_delta,all_task_results_consistent
Claude Sonnet 4.6,anthropic/claude-sonnet-4-6@default,C:\Users\chris\Downloads\results (45).zip,2026-04-13T17:29:47Z,64,60,4,93.8%,60,60,93.8%,93.8%,0,0.0,0,0,4,7.25,0.034,True
GPT-5.4,openai/gpt-5.4-2026-03-05,C:\Users\chris\Downloads\results (43).zip,2026-04-13T17:08:12Z,64,57,7,89.1%,60,57,93.8%,89.1%,3,4.7,3,0,4,9.89,0.041,True
Claude Sonnet 4.5,anthropic/claude-sonnet-4-5@20250929,C:\Users\chris\Downloads\results (41).zip,2026-04-13T17:25:12Z,64,46,18,71.9%,60,46,93.8%,71.9%,14,21.9,14,0,4,8.28,0.024,True
Gemini 2.5 Flash,google/gemini-2.5-flash,C:\Users\chris\Downloads\results (48).zip,2026-04-13T16:44:04Z,64,48,16,75.0%,59,48,92.2%,75.0%,11,17.2,11,0,5,7.95,0.063,True
google/gemma-4-26b-a4b,google/gemma-4-26b-a4b,C:\Users\chris\Downloads\results (51).zip,2026-04-13T23:26:02Z,62,52,10,83.9%,53,57,85.5%,91.9%,-4,-6.5,1,5,4,8.58,0.115,True
Qwen 3 Next 80B Thinking,qwen/qwen3-next-80b-a3b-thinking,C:\Users\chris\Downloads\results (49).zip,2026-04-13T18:22:46Z,61,42,19,68.9%,49,48,80.3%,78.7%,1,1.6,7,6,6,9.84,0.117,True
Gemini 2.5 Pro,google/gemini-2.5-pro,C:\Users\chris\Downloads\results (50).zip,2026-04-13T18:28:43Z,64,23,41,35.9%,45,30,70.3%,46.9%,15,23.4,22,7,12,9.69,0.161,True
DeepSeek V3.2,deepseek-ai/deepseek-v3.2,C:\Users\chris\Downloads\results (47).zip,2026-04-13T17:26:06Z,64,27,37,42.2%,43,40,67.2%,62.5%,3,4.7,16,13,8,9.31,0.240,True
